i	Best	Average	Worst	Best SD	Average SD	Worst SD	
35000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
36000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
37000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
38000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
39000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
40000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
41000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
42000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000015	
43000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000015	
44000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000011	
45000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
46000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
47000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
48000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
49000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
50000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
51000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
52000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
53000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
54000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
55000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
56000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
57000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
58000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
59000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
60000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
61000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
62000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
63000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
64000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000000	
